,precision,recall,f1-score,support
0,1.0,1.0,1.0,980.0
1,1.0,1.0,1.0,1135.0
2,1.0,0.998062015503876,0.9990300678952473,1032.0
3,1.0,1.0,1.0,1010.0
4,1.0,0.994908350305499,0.9974476773864216,982.0
5,1.0,1.0,1.0,892.0
6,1.0,1.0,1.0,958.0
7,0.9980582524271845,1.0,0.9990281827016521,1028.0
8,0.9989743589743589,1.0,0.9994869163673679,974.0
9,0.9960513326752222,1.0,0.9980217606330366,1009.0
accuracy,0.9993,0.9993,0.9993,0.9993
macro avg,0.9993083944076766,0.9992970365809375,0.9993014604983725,10000.0
weighted avg,0.9993020703805471,0.9993,0.999299783409921,10000.0
