,precision,recall,f1-score,support
0,0.9896157840083074,0.9724489795918367,0.9809572825527535,980.0
1,0.9911111111111112,0.9823788546255506,0.9867256637168141,1135.0
2,0.8985126859142607,0.9951550387596899,0.944367816091954,1032.0
3,0.9687194525904204,0.9811881188118812,0.9749139203148057,1010.0
4,0.9803719008264463,0.9663951120162932,0.9733333333333334,982.0
5,0.9524324324324325,0.9876681614349776,0.9697303247110622,892.0
6,0.9893048128342246,0.965553235908142,0.977284733227681,958.0
7,0.9978791092258749,0.9153696498054474,0.9548452562151192,1028.0
8,0.9788583509513742,0.9507186858316222,0.9645833333333333,974.0
9,0.956268221574344,0.9752229930624381,0.9656526005888125,1009.0
accuracy,0.9692,0.9692,0.9692,0.9692
macro avg,0.9703073861468795,0.9692098829847879,0.9692394264085669,10000.0
weighted avg,0.9704557659134931,0.9692,0.9693002532402774,10000.0
