,precision,recall,f1-score,support
0,0.9632571996027806,0.9897959183673469,0.9763462506290891,980.0
1,0.9807355516637478,0.986784140969163,0.9837505489679402,1135.0
2,0.9627151051625239,0.9757751937984496,0.9692011549566891,1032.0
3,0.9360301034807149,0.9851485148514851,0.9599614085865895,1010.0
4,0.9494549058473737,0.9755600814663951,0.9623304871923657,982.0
5,0.9847238542890717,0.9394618834080718,0.9615605278255881,892.0
6,0.9757894736842105,0.9676409185803758,0.9716981132075472,958.0
7,0.9705304518664047,0.9610894941634242,0.9657869012707723,1028.0
8,0.9657320872274143,0.9548254620123203,0.9602478058853898,974.0
9,0.982124079915878,0.9256689791873142,0.9530612244897959,1009.0
accuracy,0.9667,0.9667,0.9667,0.9667
macro avg,0.9671092812740119,0.9661750586804345,0.9663944423011767,10000.0
weighted avg,0.9670875565263058,0.9667,0.9666509207927964,10000.0
